dani,levi,546465454,0548979467,-1000,15/08/2014
shlomi,margalit,204545466,0504879646,-250,12/7/2004
or,menashe,245646496,0543974963,-38,5/9/2022
mike,peter,206945040,0546601114,-450,12/12/2022
moty,katz,456143543,0548456975,-160,15/06/2018
Mike,peter,206945040,0546601114,-250,24/12/2021
s5hay,ar4es,240464807,0548460076,0,21/05/2021
or,menashe,245646496,0543974963,23,4/8/2019
mike,peter,206945040,054601114,50,3/7/1998
kobi,klain,208801456,0533214304,-301,4/1/1980
moty,katz,456143543,0548456975,80,15/06/2012
Mike,peter,206h45040,0546601114,-300,24/12/2021
mike,peter,206945040,0546601114,-20,10/8/2017
sara,citron,264517803,054645178,-30,12/4/2008
sara,citron,264517803,0546451781,0,12/4/2008
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,300,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,23/08/2022
israel,weiss,305106403,0509676094,-150,24/8/2022
israel arye,weiss,305106603,0509676094,-150,24/8/2022
israel,israely,123456789,0501234567,-78.260002,25/8/2021
tzvi,bel,157896853,0507832614,-150,26/3/1990
israel,weiss,305106403,0509676094,30000,24/08/2022
tzvi,bel,157896853,0507832614,-150,26/3/1990
tzvi,bel,157896853,0507832614,-150,26/3/1990
tzvi,bel,157896853,0507832614,-150,26/3/1965
tzvi,bel,157896853,0507832613,-150,26/3/1965
tzvi,bel,157896853,0507832624,-150,26/3/1991
ori el,gilo,123654741,0549808151,-2500,10/10/2020
israel,weiss,305106403,0509676094,-20,9/11/2000
or+i,gilo,123654741,0549808151,2500,10/10/2020
ori,gi-lo,123654741,0549808151,2500,10/10/2020
ori,gilo,1236534741,0549808151,2500,10/10/2020
ori,gilo,12364741,0549808151,2500,10/10/2020
ori,gilo,1236F4741,0549808151,2500,10/10/2020
ori,gilo,1236#4741,0549808151,2500,10/10/2020
ori,gilo,123654741,054908151,2500,10/10/2020
ori,gilo,123654741,05498308151,2500,10/10/2020
ori,gilo,123654741,00054+808151,2500,10/10/2020
ori,gilo,123654741,0549808151,2e500,10/10/2020
ori,gilo,123654741,0549808151,2500,10/10\2020
ori,gilo,123654741,0549808151,2500,10/10.2020
mri el,gilo,147369852,0509676094,-300.000000,11/9/2022
mri el,gilo,147369852,0548754256,-300.000000,11/9/2022
mri el,gilo,147369852,0548754256,-300.000000,11/9/2022
mri el,gilo,147369852,0548754256,-300.000000,11/9/2022
mri el,gilo,147369852,0548754256,5.000000,11/9/2022
mri el,gilo,147369852,0548754256,-300.519989,11/9/2022
mri el,gilo,147369852,0541111111,-300.000000,11/9/2022
ori el,gilo,123654741,0549808151,-20.000000,21/12/2022
noh,erlich,256987654,0542365987,-20.000000,20/11/2023
mri el,gilo,147369852,0548754256,-300.519989,11/9/2022
mri el,gilo,147369852,0541111111,-300.000000,11/9/2022
mri el,gilo,147369852,0541111111,-300.000000,11/9/2022
mri el,gilo,147369852,0541111111,-300.000000,11/9/2022
mri el,gilo,147369852,0541111111,-300.000000,11/9/2022
mri el,gilo,147369852,0541111111,-300.000000,11/9/2022
mri el,gilo,147369852,0548754256,-300.519989,11/9/2022
mri el,gilo,147369852,0548754256,300.000000,11/9/2022
mri el,gilo,147369852,0548754256,-300.000000,25/8/1995
mri el,gilo,147369852,0501234567,-300.000000,11/9/2022
mri el,gilo,147369852,0501234567,-300.000000,11/9/2022
mri el,gilo,147369852,0501234567,-300.000000,11/9/2022
mri el,gilo,147369852,0509876543,-300.000000,13/9/2022
mri el,gilo,147369852,0509676094,-300.000000,16/9/2022
mri el,gilo,147369852,0509876543,-300.000000,11/9/2022
israel,israel,123456789,0509676094,0.000000,20/12/23
israel,israel,123456789,0509676094,0.000000,20/12/23
israel,israel,123456789,0509676094,0.000000,20/12/23
israel,israel,123456789,0509676094,0.000000,20/12/23
israel,israel,123456789,0509676094,0.000000,20/12/23
net,shy,058366771,0509676094,123.000000,20/12/23
net,shy,058366771,0509676094,-123.000000,20/12/23
net,shy,058366771,0509676094,-246.000000,20/12/23
mri el,gilo,147369852,0509676094,-5996.560059,16/9/2022
